Season,Player ID,Temp Player ID,Player,First Name,Last Name,Position,Body Fat %,Hand Length (in),Hand Width (in),Height without shoes (in),Height without shoes,Height with shoes (in),Height with shoes,Standing reach (in),Standing reach,Weight (lbs),Wingspan (in),Wingspan,Bench Press (reps),Lane Agility (sec),Max Vertical Leap (in),Modified Lane Agility (sec),Standing Vertical Leap (in),3/4 Court Sprint (sec),Spot-Up Coll 3 Left Wing Att,Spot-Up Coll 3 Left Wing Made,Spot-Up Coll 3 Left Wing %,Spot-Up Coll 3 Right Wing Att,Spot-Up Coll 3 Right Wing Made,Spot-Up Coll 3 Right Wing %,Spot-Up Coll 3 Left Corner Att,Spot-Up Coll 3 Left Corner Made,Spot-Up Coll 3 Left Corner %,Spot-Up Coll 3 Right Corner Att,Spot-Up Coll 3 Right Corner Made,Spot-Up Coll 3 Right Corner %,Spot-Up Coll 3 Top Att,Spot-Up Coll 3 Top Made,Spot-Up Coll 3 Top %,Spot-Up 15ft Left Wing Att,Spot-Up 15ft Left Wing Made,Spot-Up 15ft Left Wing %,Spot-Up 15ft Right Wing Att,Spot-Up 15ft Right Wing Made,Spot-Up 15ft Right Wing %,Spot-Up 15ft Left Corner Att,Spot-Up 15ft Left Corner Made,Spot-Up 15ft Left Corner %,Spot-Up 15ft Right Corner Att,Spot-Up 15ft Right Corner Made,Spot-Up 15ft Right Corner %,Spot-Up 15ft Top Att,Spot-Up 15ft Top Made,Spot-Up 15ft Top %,Spot-Up NBA 3 Left Wing Att,Spot-Up NBA 3 Left Wing Made,Spot-Up NBA 3 Left Wing %,Spot-Up NBA 3 Right Wing Att,Spot-Up NBA 3 Right Wing Made,Spot-Up NBA 3 Right Wing %,Spot-Up NBA 3 Left Corner Att,Spot-Up NBA 3 Left Corner Made,Spot-Up NBA 3 Left Corner %,Spot-Up NBA 3 Right Corner Att,Spot-Up NBA 3 Right Corner Made,Spot-Up NBA 3 Right Corner %,Spot-Up NBA 3 Top Att,Spot-Up NBA 3 Top Made,Spot-Up NBA 3 Top %,Off-Dribble Coll 3 Left Wing Att,Off-Dribble Coll 3 Left Wing Made,Off-Dribble Coll 3 Left Wing %,Off-Dribble Coll 3 Right Wing Att,Off-Dribble Coll 3 Right Wing Made,Off-Dribble Coll 3 Right Wing %,Off-Dribble Coll 3 Top Att,Off-Dribble Coll 3 Top Made,Off-Dribble Coll 3 Top %,Off-Dribble 15ft Left Wing Att,Off-Dribble 15ft Left Wing Made,Off-Dribble 15ft Left Wing %,Off-Dribble 15ft Right Wing Att,Off-Dribble 15ft Right Wing Made,Off-Dribble 15ft Right Wing %,Off-Dribble 15ft Top Att,Off-Dribble 15ft Top Made,Off-Dribble 15ft Top %,On-Move Coll 3 Att,On-Move Coll 3 Made,On-Move Coll 3 %,On-Move 15ft Att,On-Move 15ft Made,On-Move 15ft %
2026,1643552,1643552,Braden Smith,Braden,Smith,PG,,8.25,8.25,70.25,5' 10.25'',,,93.5,7' 9.50'',166.6,75.25,6' 3.25'',,10.76,38.5,2.87,31,3.23,,,,,,,25,15,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,0.667,,,,,,,,,,,,,,,,25,13,0.52,,,
2026,1643415,1643415,Brayden Burries,Brayden,Burries,SG,,8.25,9.25,75.75,6' 3.75'',,,98.5,8' 2.50'',215.4,78,6' 6.00'',,10.59,38.5,2.92,35,3.21,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,0.7,,,,,,,,,,,,,,,,25,17,0.68,,,
2026,1643570,1643570,Bruce Thornton,Bruce,Thornton,PG,,8.5,9,72,6' 0.00'',,,96.5,8' 0.50'',223,77,6' 5.00'',,11.55,35.5,3.01,29.5,3.25,,,,,,,25,10,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,0.667,,,,,,,,,,,,,,,,25,17,0.68,,,
2026,1643624,1643624,Bryce Hopkins,Bryce,Hopkins,PF,,9.25,10,78,6' 6.00'',,,105,8' 9.00'',218.8,82.5,6' 10.50'',,10.71,37.5,2.95,30,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643410,1643410,Caleb Wilson,Caleb,Wilson,PF,,9,9.75,81.25,6' 9.25'',,,108,9' 0.00'',210.8,84.25,7' 0.25'',,11.17,39.5,3.11,34.5,3.23,,,,,,,25,11,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,0.633,,,,,,,,,,,,,,,,25,12,0.48,,,
2026,1643409,1643409,Cameron Boozer,Cameron,Boozer,PF,,8.75,9.75,80.25,6' 8.25'',,,108,9' 0.00'',252.8,85.5,7' 1.50'',,11.06,35,2.99,28.5,3.31,,,,,,,25,19,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,18,0.6,,,,,,,,,,,,,,,,25,11,0.44,,,
2026,1643418,1643418,Cameron Carr,Cameron,Carr,SG,,8.75,9.25,76.5,6' 4.50'',,,104,8' 8.00'',184.4,84.75,7' 0.75'',,10.46,42.5,2.8,38,3.17,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,0.733,,,,,,,,,,,,,,,,25,11,0.44,,,
2026,1643515,1643515,Christian Anderson,Christian,Anderson,PG,,8.5,8.25,73,6' 1.00'',,,96.5,8' 0.50'',180.4,78.25,6' 6.25'',,10.85,40.5,2.85,31,3.18,,,,,,,25,17,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,27,0.9,,,,,,,,,,,,,,,,25,17,0.68,,,
2026,1643414,1643414,Christopher Brown Jr,Christopher,Brown Jr,PG,,8.25,9.5,75.5,6' 3.50'',,,100.5,8' 4.50'',190.2,79.5,6' 7.50'',,10.57,39.5,2.89,33.5,3.24,,,,,,,25,18,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,0.5,,,,,,,,,,,,,,,,25,15,0.6,,,
2026,1643416,1643416,Christopher Cenac Jr.,Christopher,Cenac Jr.,PF,,9.25,9.5,82.25,6' 10.25'',,,108.5,9' 0.50'',239.6,89,7' 5.00'',,10.76,37,2.84,33,3.27,,,,,,,25,9,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,0.5,,,,,,,,,,,,,,,,25,16,0.64,,,
